Scanning bello_dataset/chordlab/ ...
Found 1217 .lab files

══════════════════════════════════════════════════════════════════════
UNIQUE HARTE LABELS  (total unique: 1519, total frames: 157,468)
══════════════════════════════════════════════════════════════════════
Label                             Count       %  Triad    7th    9th    11th  13th
────────────────────────────────────────────────────────────────────────────────
G:maj                            10,215   6.49%  maj      N      N      N     N
C:maj                             9,308   5.91%  maj      N      N      N     N
D:maj                             9,154   5.81%  maj      N      N      N     N
A:maj                             9,087   5.77%  maj      N      N      N     N
E:maj                             6,581   4.18%  maj      N      N      N     N
F:maj                             6,087   3.87%  maj      N      N      N     N
N                                 5,177   3.29%  N        N      N      N     N
Bb:maj                            4,854   3.08%  maj      N      N      N     N
B:maj                             3,748   2.38%  maj      N      N      N     N
Ab:maj                            3,396   2.16%  maj      N      N      N     N
A:min                             3,151   2.00%  min      N      N      N     N
Eb:maj                            3,015   1.91%  maj      N      N      N     N
E:min                             2,712   1.72%  min      N      N      N     N
B:min                             2,235   1.42%  min      N      N      N     N
D:min                             2,201   1.40%  min      N      N      N     N
Db:maj                            2,148   1.36%  maj      N      N      N     N
A:min7                            1,557   0.99%  min      b7     N      N     N
G:7                               1,551   0.98%  maj      b7     N      N     N
F#:maj                            1,521   0.97%  maj      N      N      N     N
G:min                             1,444   0.92%  min      N      N      N     N
D:min7                            1,349   0.86%  min      b7     N      N     N
D:7                               1,313   0.83%  maj      b7     N      N     N
C:min                             1,294   0.82%  min      N      N      N     N
E:min7                            1,246   0.79%  min      b7     N      N     N
F#:min                            1,239   0.79%  min      N      N      N     N
A:7                               1,193   0.76%  maj      b7     N      N     N
C:7                               1,129   0.72%  maj      b7     N      N     N
Gb:maj                            1,117   0.71%  maj      N      N      N     N
E:7                               1,082   0.69%  maj      b7     N      N     N
G:min7                            1,062   0.67%  min      b7     N      N     N
F:min                             1,039   0.66%  min      N      N      N     N
C#:min                            1,037   0.66%  min      N      N      N     N
F:7                               1,036   0.66%  maj      b7     N      N     N
B:min7                              956   0.61%  min      b7     N      N     N
D:maj/5                             870   0.55%  maj      N      N      N     N
F#:min7                             862   0.55%  min      b7     N      N     N
C:min7                              847   0.54%  min      b7     N      N     N
F:min7                              738   0.47%  min      b7     N      N     N
B:7                                 715   0.45%  maj      b7     N      N     N
Eb:7                                656   0.42%  maj      b7     N      N     N
Bb:min7                             644   0.41%  min      b7     N      N     N
C#:min7                             620   0.39%  min      b7     N      N     N
Ab:7                                574   0.36%  maj      b7     N      N     N
G:maj/3                             565   0.36%  maj      N      N      N     N
F:maj7                              559   0.35%  maj      7      N      N     N
Bb:7                                552   0.35%  maj      b7     N      N     N
C#:maj                              512   0.33%  maj      N      N      N     N
Db:7                                508   0.32%  maj      b7     N      N     N
C:maj/5                             503   0.32%  maj      N      N      N     N
C:maj7                              499   0.32%  maj      7      N      N     N
Eb:min7                             458   0.29%  min      b7     N      N     N
Bb:min                              448   0.28%  min      N      N      N     N
G#:min                              443   0.28%  min      N      N      N     N
F#:7                                436   0.28%  maj      b7     N      N     N
C:maj/3                             430   0.27%  maj      N      N      N     N
D:maj/3                             424   0.27%  maj      N      N      N     N
F:maj/5                             415   0.26%  maj      N      N      N     N
E:1/1                               383   0.24%  maj      N      N      N     N
E:maj/3                             380   0.24%  maj      N      N      N     N
G:maj7                              379   0.24%  maj      7      N      N     N
F:maj/3                             370   0.23%  maj      N      N      N     N
Eb:min                              360   0.23%  min      N      N      N     N
Bb:maj7                             356   0.23%  maj      7      N      N     N
G:5                                 346   0.22%  5        N      N      N     N
